x	xmin	xmax	y	clickSelects
1	0.5	1.5	5	1
2	1.5	2.5	0.694444444444444	2
3	2.5	3.5	0.0256821170282704	3
4	3.5	4.5	4.09602097164452e-05	4
5	4.5	5.5	1.04856567872957e-10	5
6	5.5	6.5	0	6
7	6.5	7.5	0	7
8	7.5	8.5	0	8
9	8.5	9.5	0	9
10	9.5	10.5	0	10
1	0.5	1.5	3	1
2	1.5	2.5	2.25	2
3	2.5	3.5	0.2025	3
4	3.5	4.5	0.00243939619274158	4
5	4.5	5.5	3.71689187872448e-07	5
6	5.5	6.5	8.88178419700125e-15	6
7	6.5	7.5	0	7
8	7.5	8.5	0	8
9	8.5	9.5	0	9
10	9.5	10.5	0	10
1	0.5	1.5	3.75	1
2	1.5	2.5	14.0625	2
3	2.5	3.5	2.73707828719723	3
4	3.5	4.5	0.277998756689644	4
5	4.5	5.5	0.0045163237015986	5
6	5.5	6.5	1.273385979772e-06	6
7	6.5	7.5	1.01252339845814e-13	7
8	7.5	8.5	0	8
9	8.5	9.5	0	9
10	9.5	10.5	0	10
1	0.5	1.5	2.25	1
2	1.5	2.5	0.2025	2
3	2.5	3.5	0.00243939619274158	3
4	3.5	4.5	3.71689187872448e-07	4
5	4.5	5.5	8.88178419700125e-15	5
6	5.5	6.5	0	6
7	6.5	7.5	0	7
8	7.5	8.5	0	8
9	8.5	9.5	0	9
10	9.5	10.5	0	10
1	0.5	1.5	12	1
2	1.5	2.5	2.25	2
3	2.5	3.5	0.2025	3
4	3.5	4.5	0.00243939619274158	4
5	4.5	5.5	3.71689187872448e-07	5
6	5.5	6.5	8.88178419700125e-15	6
7	6.5	7.5	0	7
8	7.5	8.5	0	8
9	8.5	9.5	0	9
10	9.5	10.5	0	10
