y	x	showSelected1
3.10037054511756	1	1
2.59774256904387	2	2
2.080311660041	3	3
1.52998450338873	4	4
0.89394303969942	5	5
0.0094515002776166	6	6
-1.55049076441563	7	7
-4.63005411401539	8	8
-10.5939206362036	9	9
-13.7324906718488	10	10
-13.7324906718488	11	11
-13.7324906718488	12	12
-13.7324906718488	13	13
-13.7324906718488	14	14
-13.7324906718488	15	15
-13.7324906718488	16	16
-13.7324906718488	17	17
-13.7324906718488	18	18
-13.7324906718488	19	19
-13.7324906718488	20	20
2.24223094054017	1	1
1.70526158342391	2	2
1.10553266069653	3	3
0.32737186453724	4	4
-0.956192382757709	5	5
-3.44434083639392	6	6
-8.49491869946705	7	7
-13.7324906718488	8	8
-13.7324906718488	9	9
-13.7324906718488	10	10
-13.7324906718488	11	11
-13.7324906718488	12	12
-13.7324906718488	13	13
-13.7324906718488	14	14
-13.7324906718488	15	15
-13.7324906718488	16	16
-13.7324906718488	17	17
-13.7324906718488	18	18
-13.7324906718488	19	19
-13.7324906718488	20	20
0.98675068873025	1	1
1.83312588903029	2	2
1.25388422262167	3	3
0.535498655172387	4	4
-0.584458793718195	5	5
-2.70715341106616	6	6
-6.95479428274703	7	7
-12.6993172650877	8	8
-13.7324906718488	9	9
-13.7324906718488	10	10
-13.7324906718488	11	11
-13.7324906718488	12	12
-13.7324906718488	13	13
-13.7324906718488	14	14
-13.7324906718488	15	15
-13.7324906718488	16	16
-13.7324906718488	17	17
-13.7324906718488	18	18
-13.7324906718488	19	19
-13.7324906718488	20	20
0.946236253581947	1	1
0.55460651755968	2	2
-1.07201123990302	3	3
-4.57750174244469	4	4
-12.6500992424175	5	5
-13.7324906718488	6	6
-13.7324906718488	7	7
-13.7324906718488	8	8
-13.7324906718488	9	9
-13.7324906718488	10	10
-13.7324906718488	11	11
-13.7324906718488	12	12
-13.7324906718488	13	13
-13.7324906718488	14	14
-13.7324906718488	15	15
-13.7324906718488	16	16
-13.7324906718488	17	17
-13.7324906718488	18	18
-13.7324906718488	19	19
-13.7324906718488	20	20
0.778745166288184	1	1
-0.731149443968169	2	2
-2.74675362058417	3	3
-6.75198419319218	4	4
-12.9309258519932	5	5
-13.7324906718488	6	6
-13.7324906718488	7	7
-13.7324906718488	8	8
-13.7324906718488	9	9
-13.7324906718488	10	10
-13.7324906718488	11	11
-13.7324906718488	12	12
-13.7324906718488	13	13
-13.7324906718488	14	14
-13.7324906718488	15	15
-13.7324906718488	16	16
-13.7324906718488	17	17
-13.7324906718488	18	18
-13.7324906718488	19	19
-13.7324906718488	20	20
0.422479258291688	1	1
0.313569675283495	2	2
-1.16726792148781	3	3
-3.66119381797706	4	4
-8.61243754156605	5	5
-13.7324906718488	6	6
-13.7324906718488	7	7
-13.7324906718488	8	8
-13.7324906718488	9	9
-13.7324906718488	10	10
-13.7324906718488	11	11
-13.7324906718488	12	12
-13.7324906718488	13	13
-13.7324906718488	14	14
-13.7324906718488	15	15
-13.7324906718488	16	16
-13.7324906718488	17	17
-13.7324906718488	18	18
-13.7324906718488	19	19
-13.7324906718488	20	20
0.629447083820439	1	1
0.46274425405197	2	2
-0.55503074368434	3	3
-2.44137706449444	4	4
-6.19026251296189	5	5
-11.8931372911038	6	6
-13.7324906718488	7	7
-13.7324906718488	8	8
-13.7324906718488	9	9
-13.7324906718488	10	10
-13.7324906718488	11	11
-13.7324906718488	12	12
-13.7324906718488	13	13
-13.7324906718488	14	14
-13.7324906718488	15	15
-13.7324906718488	16	16
-13.7324906718488	17	17
-13.7324906718488	18	18
-13.7324906718488	19	19
-13.7324906718488	20	20
2.25527250510331	1	1
1.73309511775037	2	2
1.17052439317645	3	3
0.497572148752733	4	4
-0.496859221828165	5	5
-2.32774594612496	6	6
-5.96417148683735	7	7
-11.6641099568603	8	8
-13.7324906718488	9	9
-13.7324906718488	10	10
-13.7324906718488	11	11
-13.7324906718488	12	12
-13.7324906718488	13	13
-13.7324906718488	14	14
-13.7324906718488	15	15
-13.7324906718488	16	16
-13.7324906718488	17	17
-13.7324906718488	18	18
-13.7324906718488	19	19
-13.7324906718488	20	20
