group	x	xend	y	yend	showSelected1
9	5	5	0	21	1
1	5	2.9	21	0	1
10	2.9	2.9	0	4.41	2
2	2.9	2.13965517241379	4.41	0	2
11	2.13965517241379	2.13965517241379	0	0.578124256837098	3
3	2.13965517241379	2.00455764261302	0.578124256837098	0	3
12	2.00455764261302	2.00455764261302	0	0.0182513425582709	4
4	2.00455764261302	2.00000518121947	0.0182513425582709	0	4
13	2.00000518121947	2.00000518121947	0	2.07249047390334e-05	5
5	2.00000518121947	2.00000000000671	2.07249047390334e-05	0	5
14	2.00000000000671	2.00000000000671	0	2.68443045570166e-11	6
6	2.00000000000671	2	2.68443045570166e-11	0	6
15	2	2	0	0	7
7	2	2	0	0	7
16	2	2	0	0	8
8	2	2	0	0	8
