group	x	y
1	1	5
1	2	0.694444444444444
1	3	0.0256821170282704
1	4	4.09602097164452e-05
1	5	1.04856567872957e-10
1	6	0
1	7	0
1	8	0
1	9	0
1	10	0
2	1	3
2	2	2.25
2	3	0.2025
2	4	0.00243939619274158
2	5	3.71689187872448e-07
2	6	8.88178419700125e-15
2	7	0
2	8	0
2	9	0
2	10	0
3	1	3.75
3	2	14.0625
3	3	2.73707828719723
3	4	0.277998756689644
3	5	0.0045163237015986
3	6	1.273385979772e-06
3	7	1.01252339845814e-13
3	8	0
3	9	0
3	10	0
4	1	2.25
4	2	0.2025
4	3	0.00243939619274158
4	4	3.71689187872448e-07
4	5	8.88178419700125e-15
4	6	0
4	7	0
4	8	0
4	9	0
4	10	0
5	1	12
5	2	2.25
5	3	0.2025
5	4	0.00243939619274158
5	5	3.71689187872448e-07
5	6	8.88178419700125e-15
5	7	0
5	8	0
5	9	0
5	10	0
