group	x	y	showSelected1
1	1	5	-3
1	2	0.694444444444444	-3
1	3	0.0256821170282704	-3
1	4	4.09602097164452e-05	-3
1	5	1.04856567872957e-10	-3
1	6	0	-3
1	7	0	-3
1	8	0	-3
1	9	0	-3
1	10	0	-3
2	1	3	-1
2	2	2.25	-1
2	3	0.2025	-1
2	4	0.00243939619274158	-1
2	5	3.71689187872448e-07	-1
2	6	8.88178419700125e-15	-1
2	7	0	-1
2	8	0	-1
2	9	0	-1
2	10	0	-1
3	1	3.75	0.5
3	2	14.0625	0.5
3	3	2.73707828719723	0.5
3	4	0.277998756689644	0.5
3	5	0.0045163237015986	0.5
3	6	1.273385979772e-06	0.5
3	7	1.01252339845814e-13	0.5
3	8	0	0.5
3	9	0	0.5
3	10	0	0.5
4	1	2.25	2.5
4	2	0.2025	2.5
4	3	0.00243939619274158	2.5
4	4	3.71689187872448e-07	2.5
4	5	8.88178419700125e-15	2.5
4	6	0	2.5
4	7	0	2.5
4	8	0	2.5
4	9	0	2.5
4	10	0	2.5
5	1	12	4
5	2	2.25	4
5	3	0.2025	4
5	4	0.00243939619274158	4
5	5	3.71689187872448e-07	4
5	6	8.88178419700125e-15	4
5	7	0	4
5	8	0	4
5	9	0	4
5	10	0	4
