x	xend	y	yend	showSelected1
-2.16666666666667	-2.16666666666667	5	0	1
-2.00641025641026	-2.00641025641026	0.694444444444444	0	2
-2.00001024002621	-2.00001024002621	0.0256821170282704	0	3
-2.00000000002621	-2.00000000002621	4.09602097164452e-05	0	4
-2	-2	1.04856567872957e-10	0	5
-2	-2	0	0	6
-2	-2	0	0	7
-2	-2	0	0	8
-2	-2	0	0	9
-2	-2	0	0	10
-2.5	-2.5	-3	0	1
-2.05	-2.05	2.25	0	2
-2.00060975609756	-2.00060975609756	0.2025	0	3
-2.00000009292229	-2.00000009292229	0.00243939619274158	0	4
-2	-2	3.71689187872448e-07	0	5
-2	-2	8.88178419700125e-15	0	6
-2	-2	0	0	7
-2	-2	0	0	8
-2	-2	0	0	9
-2	-2	0	0	10
4.25	4.25	-3.75	0	1
2.59558823529412	2.59558823529412	14.0625	0	2
2.06833236127312	2.06833236127312	2.73707828719723	0	3
2.00112876239926	2.00112876239926	0.277998756689644	0	4
2.00000031834647	2.00000031834647	0.0045163237015986	0	5
2.00000000000003	2.00000000000003	1.273385979772e-06	0	6
2	2	1.01252339845814e-13	0	7
2	2	0	0	8
2	2	0	0	9
2	2	0	0	10
2.05	2.05	2.25	0	1
2.00060975609756	2.00060975609756	0.2025	0	2
2.00000009292229	2.00000009292229	0.00243939619274158	0	3
2	2	3.71689187872448e-07	0	4
2	2	8.88178419700125e-15	0	5
2	2	0	0	6
2	2	0	0	7
2	2	0	0	8
2	2	0	0	9
2	2	0	0	10
2.5	2.5	12	0	1
2.05	2.05	2.25	0	2
2.00060975609756	2.00060975609756	0.2025	0	3
2.00000009292229	2.00000009292229	0.00243939619274158	0	4
2	2	3.71689187872448e-07	0	5
2	2	8.88178419700125e-15	0	6
2	2	0	0	7
2	2	0	0	8
2	2	0	0	9
2	2	0	0	10
